"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0021137010","0240","2013-06-23T02:20:00.000","0","PURIFICACION","TOLIMA","PURIFICACIÓN","ALTO MAGDALENA","3.85","-74.936","Precipitacion","mm"
"0023087210","0240","2010-08-01T15:40:00.000","0","CANTERAS - AUT","ANTIOQUIA","PUERTO NARE","MEDIO MAGDALENA","6.276083333","-74.67330556","Precipitacion","mm"
"0021255160","0240","2008-12-11T09:30:00.000","0","HACIENDA PAJONALES","TOLIMA","AMBALEMA","ALTO MAGDALENA","4.760722222","-74.83425","Precipitacion","mm"
"0021115170","0240","2015-03-23T15:40:00.000","0","LA PLATA - AUT","HUILA","NEIVA","ALTO MAGDALENA","2.759138889","-75.07455556","Precipitacion","mm"
"0012015100","0240","2012-01-15T15:00:00.000","1.6","PISTA INDIRA - AUT","ANTIOQUIA","TURBO","CARIBE - LITORAL","7.94075","-76.69616667","Precipitacion","mm"
"0016015120","0240","2018-05-13T20:00:00.000","0","UNIVERSIDAD DE PAMPLONA  - AUT","NORTE DE SANTANDER","PAMPLONA","CATATUMBO","7.360944444","-72.66605556","Precipitacion","mm"
"0011035030","0240","2019-07-26T18:00:00.000","0","PR CHOCO: UNION PANAMERICANA","CHOCÓ","UNIÓN PANAMERICANA","ATRATO - DARIÉN","5.285","-76.628","Precipitacion","mm"
"0021202180","0240","2013-04-18T20:00:00.000","0.1","QUIBA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.543","-74.156","Precipitacion","mm"
"0011025501","0240","2016-07-27T11:00:00.000","0","CARMEN DE ATRATO  - AUT","CHOCO","EL CARMEN","ATRATO - DARIÉN","5.888719444","-76.14516667","Precipitacion","mm"
"0021015050","0240","2006-10-04T09:40:00.000","0","PURACE  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.925916667","-76.42755556","Precipitacion","mm"
"0024035410","0240","2016-08-17T01:00:00.000","0","SOGAMOSO - AUT","BOYACÁ","SOGAMOSO","SOGAMOSO","5.753333333","-72.91115278","Precipitacion","mm"
"0015067220","0240","2018-02-20T20:00:00.000","0","PTE CARRETERA","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.511","-72.856","Precipitacion","mm"
"0024035360","0240","2011-08-25T14:30:00.000","0","SOCHA - AUT","BOYACÁ","SOCHA","SOGAMOSO","5.985416667","-72.99702778","Precipitacion","mm"
"0021217200","0240","2019-06-26T00:10:00.000","0","CARMEN EL","TOLIMA","ROVIRA","ALTO MAGDALENA","4.300611111","-75.20655556","Precipitacion","mm"
